Sebastian Vettel,RBR Renault,256
Fernando Alonso,Ferrari,252
Mark Webber,RBR Renault,242
Lewis Hamilton,McLaren Mercedes,240
Jenson Button,McLaren Mercedes,214
Felipe Massa,Ferrari,144
Nico Rosberg,Mercedes,142
Robert Kubica,Renault,136
Michael Schumacher,Mercedes,72
Rubens Barrichello,Williams Cosworth,47
Adrian Sutil,Force India Mercedes,47
Kamui Kobayashi,Sauber Ferrari,32
Vitaly Petrov,Renault,27
Nico Hulkenberg,Williams Cosworth,22
Vitantonio Liuzzi,Force India Mercedes,21
Sebastien Buemi,STR Ferrari,8
Pedro de la Rosa,Sauber Ferrari,6
Nick Heidfeld,Sauber Ferrari,6
Jaime Alguersuari,STR Ferrari,5
Heikki Kovalainen,Lotus Cosworth,0
Jarno Trulli,Lotus Cosworth,0
Karun Chandhok,HRT Cosworth,0
Bruno Senna,HRT Cosworth,0
Lucas di Grassi,Virgin Cosworth,0
Timo Glock,Virgin Cosworth,0
Sakon Yamamoto,HRT Cosworth,0
Christian Klien,HRT Cosworth,0
